# MCU Time(ns), ADC reading
5928587341314.000000,65199.000000
5928588348395.000000,65247.000000
5928589355475.000000,65247.000000
5928590393074.000000,65199.000000
5928591400154.000000,65327.000000
5928592407235.000000,65391.000000
5928593444833.000000,65215.000000
5928594451914.000000,65103.000000
5928595458994.000000,65215.000000
5928596496593.000000,65183.000000
5928597503673.000000,65087.000000
5928598541272.000000,65167.000000
5928599548352.000000,65183.000000
5928600585937.000000,65167.000000
5928601593018.000000,65215.000000
5928602630616.000000,65391.000000
5928603637697.000000,65359.000000
5928604644777.000000,65535.000000
5928605682376.000000,65279.000000
5928606689456.000000,65439.000000
5928607727055.000000,65263.000000
5928608734135.000000,65535.000000
5928609741216.000000,65343.000000
5928610748296.000000,65311.000000
5928611785895.000000,65247.000000
5928612792975.000000,65167.000000
5928613830574.000000,65263.000000
5928614837654.000000,65247.000000
5928615844735.000000,65391.000000
5928616882333.000000,65231.000000
5928617889414.000000,65439.000000
5928618896494.000000,65487.000000
5928619934093.000000,65167.000000
5928620941173.000000,65471.000000
5928621948254.000000,65279.000000
5928622985852.000000,65439.000000
5928623992933.000000,65455.000000
5928625030518.000000,65215.000000
5928626037598.000000,65423.000000
5928627075197.000000,65311.000000
5928628082277.000000,65535.000000
5928629089358.000000,65327.000000
5928630126956.000000,65343.000000
5928631134037.000000,65471.000000
5928632141117.000000,65199.000000
5928633178716.000000,65327.000000
5928634185796.000000,65167.000000
5928635223395.000000,65503.000000
5928636230475.000000,65247.000000
5928637237556.000000,65247.000000
5928638275154.000000,65391.000000
5928639282235.000000,65311.000000
5928640289315.000000,65535.000000
5928641326914.000000,65183.000000
5928642333994.000000,65279.000000
5928643371593.000000,65231.000000
5928644378673.000000,65295.000000
5928645385754.000000,65311.000000
5928646423352.000000,65343.000000
5928647430433.000000,65327.000000
5928648468018.000000,65471.000000
5928649475098.000000,65455.000000
5928650512697.000000,65167.000000
5928651519777.000000,65295.000000
5928652526858.000000,65487.000000
5928653564456.000000,65519.000000
5928654571537.000000,65327.000000
5928655578617.000000,65327.000000
5928656616216.000000,65247.000000
5928657623296.000000,65423.000000
5928658630377.000000,65503.000000
5928659667975.000000,65535.000000
5928660675056.000000,65423.000000
5928661682136.000000,65423.000000
5928662719735.000000,65391.000000
5928663726815.000000,65327.000000
5928664733896.000000,65343.000000
5928665771494.000000,65199.000000
5928666778575.000000,65407.000000
5928667816173.000000,65423.000000
5928668823254.000000,65359.000000
5928669830334.000000,65535.000000
5928670867933.000000,65359.000000
5928671905518.000000,65519.000000
5928672912598.000000,65535.000000
5928673919679.000000,65535.000000
5928674957277.000000,65535.000000
5928675964358.000000,65359.000000
5928676971438.000000,65535.000000
5928678009037.000000,65215.000000
5928679016117.000000,65343.000000
5928680023198.000000,65359.000000
5928681060796.000000,65247.000000
5928682067877.000000,65535.000000
5928683074957.000000,65359.000000
5928684112556.000000,65439.000000
5928685119636.000000,65519.000000
5928686157235.000000,65407.000000
5928687164315.000000,65423.000000
5928688201914.000000,65535.000000
5928689208994.000000,65487.000000
5928690216075.000000,65439.000000
5928691253673.000000,65455.000000
5928692260754.000000,65519.000000
5928693267834.000000,65343.000000
5928694305433.000000,65263.000000
5928695343018.000000,65231.000000
5928696350098.000000,65375.000000
5928697357179.000000,65455.000000
5928698394777.000000,65311.000000
5928699401858.000000,65359.000000
5928700408938.000000,65535.000000
5928701446537.000000,65471.000000
5928702453617.000000,65535.000000
5928703460698.000000,65439.000000
5928704498296.000000,65327.000000
5928705505377.000000,65295.000000
5928706512457.000000,65519.000000
5928707550056.000000,65535.000000
5928708557136.000000,65263.000000
5928709564217.000000,65391.000000
5928710601815.000000,65375.000000
5928711608896.000000,65535.000000
5928712615976.000000,65535.000000
5928713653575.000000,65535.000000
5928714660655.000000,65391.000000
5928715698254.000000,65423.000000
5928716705334.000000,65343.000000
5928717712415.000000,65263.000000
5928718750000.000000,65423.000000
5928719757080.000000,65487.000000
5928720794679.000000,65535.000000
5928721801759.000000,65535.000000
5928722839358.000000,65503.000000
5928723846438.000000,65519.000000
5928724853519.000000,65375.000000
5928725891117.000000,65535.000000
5928726898198.000000,65343.000000
5928727905278.000000,65471.000000
5928728942877.000000,65471.000000
5928729949957.000000,65391.000000
5928730957038.000000,65375.000000
5928731994636.000000,65471.000000
5928733001717.000000,65455.000000
5928734008797.000000,65423.000000
5928735046396.000000,65535.000000
5928736053476.000000,65535.000000
5928737091075.000000,65535.000000
5928738098155.000000,65327.000000
5928739105236.000000,65471.000000
5928740142834.000000,65535.000000
5928741149915.000000,65311.000000
5928742187500.000000,65439.000000
5928743194580.000000,65503.000000
5928744232179.000000,65535.000000
5928745239259.000000,65535.000000
5928746246340.000000,65519.000000
5928747283938.000000,65535.000000
5928748291019.000000,65535.000000
5928749328617.000000,65535.000000
5928750335698.000000,65535.000000
5928751342778.000000,65535.000000
5928752380377.000000,65503.000000
5928753387457.000000,65487.000000
5928754394538.000000,65407.000000
5928755432136.000000,65535.000000
5928756439217.000000,65535.000000
5928757446297.000000,65535.000000
5928758483896.000000,65535.000000
5928759490976.000000,65503.000000
5928760528575.000000,65503.000000
5928761535655.000000,65455.000000
5928762542736.000000,65535.000000
5928763580334.000000,65439.000000
5928764587415.000000,65535.000000
5928765625000.000000,65487.000000
5928766632080.000000,65535.000000
5928767669679.000000,65439.000000
5928768676759.000000,65535.000000
5928769683840.000000,65535.000000
5928770721438.000000,65391.000000
5928771728519.000000,65439.000000
5928772735599.000000,65375.000000
5928773773198.000000,65535.000000
5928774780278.000000,65439.000000
5928775787359.000000,65455.000000
5928776824957.000000,65535.000000
5928777832038.000000,65535.000000
5928778839118.000000,65535.000000
5928779876717.000000,65455.000000
5928780883797.000000,65439.000000
5928781890878.000000,65535.000000
5928782928476.000000,65487.000000
5928783935557.000000,65391.000000
5928784973155.000000,65535.000000
5928785980236.000000,65503.000000
5928786987316.000000,65423.000000
5928788024915.000000,65535.000000
5928789031995.000000,65471.000000
5928790069580.000000,65375.000000
5928791076661.000000,65535.000000
5928792083741.000000,65535.000000
5928793121340.000000,65535.000000
5928794128420.000000,65375.000000
5928795135501.000000,65503.000000
5928796173099.000000,65535.000000
5928797180180.000000,65455.000000
5928798187260.000000,65439.000000
5928799224859.000000,65535.000000
5928800231939.000000,65487.000000
5928801269538.000000,65535.000000
5928802276618.000000,65535.000000
5928803283699.000000,65455.000000
5928804321297.000000,65487.000000
5928805328378.000000,65535.000000
5928806335458.000000,65375.000000
5928807373057.000000,65503.000000
5928808380137.000000,65535.000000
5928809417736.000000,65535.000000
5928810424816.000000,65535.000000
5928811431897.000000,65535.000000
5928812469495.000000,65535.000000
5928813476562.000000,65535.000000
5928814514161.000000,65535.000000
5928815521241.000000,65535.000000
5928816558840.000000,65535.000000
5928817565920.000000,65535.000000
5928818573001.000000,65535.000000
5928819610599.000000,65535.000000
5928820617680.000000,65535.000000
5928821624760.000000,65519.000000
5928822662359.000000,65535.000000
5928823669439.000000,65535.000000
5928824676520.000000,65423.000000
5928825714118.000000,65519.000000
5928826721199.000000,65535.000000
5928827758797.000000,65535.000000
5928828765878.000000,65503.000000
5928829772958.000000,65423.000000
5928830810557.000000,65535.000000
5928831817637.000000,65535.000000
5928832824718.000000,65535.000000
5928833862316.000000,65503.000000
5928834869397.000000,65439.000000
5928835876477.000000,65535.000000
5928836914062.000000,65535.000000
5928837921143.000000,65535.000000
5928838958741.000000,65535.000000
5928839965822.000000,65535.000000
5928841003420.000000,65535.000000
5928842010501.000000,65535.000000
5928843017581.000000,65535.000000
5928844055180.000000,65535.000000
5928845062260.000000,65535.000000
5928846069341.000000,65535.000000
5928847106939.000000,65503.000000
5928848114020.000000,65535.000000
5928849151618.000000,65535.000000
5928850158699.000000,65535.000000
5928851165779.000000,65535.000000
5928852203378.000000,65535.000000
5928853210458.000000,65535.000000
5928854217539.000000,65535.000000
5928855255137.000000,65535.000000
5928856262218.000000,65535.000000
5928857299816.000000,65535.000000
5928858306897.000000,65535.000000
5928859313977.000000,65535.000000
